Gender,Senior Citizen,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Contract,Monthly Charges,Churn,Tenure_group,Charges_per_tenure
Female,0,No,42,Yes,Yes,Fiber optic,One year,78,No,Medium,1.813953488
Female,0,Yes,57,Yes,No,DSL,Month-to-month,65,No,Loyal,1.120689655
Male,0,Yes,9,Yes,Yes,Fiber optic,Month-to-month,20,No,New,2
Female,0,No,9,Yes,No,DSL,Month-to-month,71,Yes,New,7.1
Male,0,No,33,Yes,No,DSL,Month-to-month,45,No,Medium,1.323529412
Male,0,No,1,Yes,No,Fiber optic,Two year,19,No,New,9.5
Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,79,Yes,New,9.875
Male,0,No,1,Yes,Yes,DSL,Two year,72,Yes,New,36
Male,0,Yes,65,Yes,No,DSL,Month-to-month,20,No,Loyal,0.303030303
Male,0,No,10,Yes,No,DSL,One year,86,Yes,New,7.818181818
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,95,No,Loyal,1.338028169
Female,0,No,29,Yes,No,DSL,Month-to-month,99,Yes,Medium,3.3
Male,0,Yes,21,Yes,No,DSL,Two year,104,Yes,Medium,4.727272727
Male,0,No,1,Yes,No,DSL,Month-to-month,91,Yes,New,45.5
Male,0,No,5,Yes,No,DSL,Month-to-month,20,No,New,3.333333333
Male,0,No,56,Yes,Yes,DSL,Two year,90,No,Loyal,1.578947368
Male,0,Yes,35,Yes,No,Fiber optic,Month-to-month,85,Yes,Medium,2.361111111
Male,0,Yes,10,Yes,No,DSL,Two year,20,No,New,1.818181818
Female,0,No,31,No,No,DSL,Two year,50,No,Medium,1.5625
Male,1,No,37,Yes,No,Fiber optic,Month-to-month,86,Yes,Medium,2.263157895
Male,1,No,57,Yes,Yes,DSL,Two year,95,Yes,Loyal,1.637931034
Female,0,Yes,34,Yes,Yes,DSL,Month-to-month,26,No,Medium,0.742857143
Female,0,No,3,Yes,Yes,Fiber optic,Two year,99,Yes,New,24.75
Female,0,No,4,Yes,Yes,Fiber optic,One year,83,No,New,16.6
Female,0,No,54,Yes,Yes,DSL,Two year,20,No,Loyal,0.363636364
Male,0,Yes,6,Yes,Yes,Fiber optic,Two year,20,No,New,2.857142857
Male,0,No,22,Yes,No,DSL,One year,60,No,Medium,2.608695652
Male,0,No,23,Yes,No,DSL,Month-to-month,97,No,Medium,4.041666667
Female,0,No,68,Yes,No,DSL,One year,58,No,Loyal,0.84057971
Female,0,Yes,48,Yes,No,DSL,Month-to-month,20,No,Medium,0.408163265
Male,0,Yes,34,Yes,No,DSL,Month-to-month,21,No,Medium,0.6
Female,0,No,41,Yes,Yes,Fiber optic,Month-to-month,80,No,Medium,1.904761905
Male,0,No,9,Yes,Yes,Fiber optic,One year,76,No,New,7.6
Female,1,No,18,Yes,No,DSL,Two year,104,No,Medium,5.473684211
Male,0,No,35,Yes,No,DSL,Month-to-month,96,No,Medium,2.666666667
Male,0,Yes,55,Yes,No,Fiber optic,Month-to-month,79,No,Loyal,1.410714286
Male,0,No,54,Yes,Yes,Fiber optic,Month-to-month,108,No,Loyal,1.963636364
Female,1,No,2,Yes,No,DSL,One year,79,Yes,New,26.33333333
Male,0,No,52,Yes,No,DSL,Two year,106,No,Loyal,2
Male,0,No,72,Yes,Yes,DSL,Two year,70,No,Loyal,0.95890411
Male,0,No,9,Yes,No,DSL,Month-to-month,70,No,New,7
Female,0,Yes,3,Yes,Yes,Fiber optic,Month-to-month,70,No,New,17.5
Male,1,No,4,Yes,No,Fiber optic,Month-to-month,75,No,New,15
Male,0,Yes,69,Yes,Yes,DSL,Two year,76,No,Loyal,1.085714286
Female,0,Yes,67,No,No,DSL,One year,36,No,Loyal,0.529411765
Male,0,No,4,Yes,No,DSL,Two year,80,Yes,New,16
Male,0,No,13,No,No,Fiber optic,Month-to-month,46,Yes,Medium,3.285714286
Female,0,Yes,45,Yes,Yes,DSL,Two year,81,No,Medium,1.760869565
Male,0,No,68,Yes,No,DSL,Month-to-month,101,No,Loyal,1.463768116
Female,0,Yes,69,Yes,No,DSL,Month-to-month,74,No,Loyal,1.057142857
Female,0,No,70,No,No,Fiber optic,One year,58,No,Loyal,0.816901408
Female,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,New,10
Female,0,Yes,45,Yes,No,DSL,Two year,26,No,Medium,0.565217391
Female,0,Yes,37,Yes,No,Fiber optic,One year,20,No,Medium,0.526315789
Female,0,Yes,10,No,No,DSL,One year,40,No,New,3.636363636
Female,0,Yes,1,Yes,Yes,DSL,Month-to-month,89,No,New,44.5
Male,0,Yes,29,Yes,Yes,Fiber optic,Month-to-month,69,No,Medium,2.3
Male,1,Yes,72,Yes,No,Fiber optic,Month-to-month,104,No,Loyal,1.424657534
Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,76,Yes,New,25.33333333
Male,0,No,24,Yes,No,DSL,One year,54,No,Medium,2.16
Female,0,No,4,Yes,No,DSL,Month-to-month,79,Yes,New,15.8
Male,0,No,72,Yes,No,DSL,Month-to-month,19,No,Loyal,0.260273973
Female,0,No,11,Yes,Yes,Fiber optic,Month-to-month,79,No,New,6.583333333
Female,0,Yes,44,Yes,No,DSL,One year,20,No,Medium,0.444444444
Male,0,Yes,62,Yes,No,Fiber optic,Month-to-month,20,No,Loyal,0.317460317
Male,0,Yes,70,Yes,No,DSL,Month-to-month,25,No,Loyal,0.352112676
Female,1,No,1,No,No,DSL,Month-to-month,25,Yes,New,12.5
Female,0,No,4,Yes,No,DSL,Month-to-month,106,Yes,New,21.2
Female,1,No,2,Yes,No,DSL,One year,86,Yes,New,28.66666667
Female,0,No,41,Yes,Yes,DSL,Month-to-month,56,No,Medium,1.333333333
Female,1,No,1,Yes,Yes,DSL,One year,19,Yes,New,9.5
Male,1,No,72,Yes,No,Fiber optic,Month-to-month,84,No,Loyal,1.150684932
Female,0,No,63,Yes,No,DSL,Two year,109,No,Loyal,1.703125
Male,0,No,68,Yes,Yes,Fiber optic,Two year,80,No,Loyal,1.15942029
Female,1,No,59,Yes,No,DSL,Two year,100,No,Loyal,1.666666667
Male,1,No,52,No,No,Fiber optic,Month-to-month,49,No,Loyal,0.924528302
Male,1,Yes,26,Yes,Yes,DSL,Two year,106,Yes,Medium,3.925925926
Male,0,No,66,No,Yes,Fiber optic,Month-to-month,57,No,Loyal,0.850746269
Female,1,No,56,Yes,Yes,Fiber optic,Two year,96,No,Loyal,1.684210526
Female,0,No,72,Yes,No,DSL,Month-to-month,79,No,Loyal,1.082191781
Male,1,No,2,Yes,No,Fiber optic,One year,70,No,New,23.33333333
Male,0,No,68,Yes,No,Fiber optic,Month-to-month,117,No,Loyal,1.695652174
Male,0,Yes,61,Yes,Yes,Fiber optic,Two year,85,No,Loyal,1.370967742
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No,New,10
Male,0,No,2,Yes,No,Fiber optic,Month-to-month,20,No,New,6.666666667
Female,0,No,2,Yes,No,Fiber optic,One year,20,Yes,New,6.666666667
Male,1,Yes,68,Yes,No,DSL,Two year,85,No,Loyal,1.231884058
Male,0,No,9,Yes,No,Fiber optic,Month-to-month,68,No,New,6.8
Male,0,No,13,Yes,No,Fiber optic,Month-to-month,83,Yes,Medium,5.928571429
Female,0,No,22,Yes,No,Fiber optic,One year,20,No,Medium,0.869565217
Male,0,Yes,66,Yes,No,DSL,Month-to-month,25,No,Loyal,0.373134328
Male,0,Yes,8,Yes,No,DSL,Month-to-month,20,No,New,2.222222222
Male,0,Yes,2,Yes,No,DSL,Two year,70,No,New,23.33333333
Male,0,No,3,Yes,No,DSL,One year,56,No,New,14
Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,92,Yes,New,15.33333333
Male,0,No,13,Yes,No,DSL,Month-to-month,20,No,Medium,1.428571429
Male,0,Yes,53,Yes,No,DSL,Two year,65,No,Loyal,1.203703704
Male,0,No,3,Yes,No,DSL,Two year,20,No,New,5
Male,0,No,46,Yes,Yes,DSL,Two year,95,No,Medium,2.021276596
Female,0,No,39,No,No,Fiber optic,Month-to-month,40,No,Medium,1
Female,0,Yes,30,Yes,No,Fiber optic,Month-to-month,108,No,Medium,3.483870968
Female,0,No,23,Yes,Yes,DSL,Two year,99,No,Medium,4.125
Male,0,Yes,40,Yes,No,DSL,One year,20,No,Medium,0.487804878
Female,0,No,45,Yes,No,DSL,Month-to-month,63,No,Medium,1.369565217
Male,0,No,53,Yes,No,DSL,One year,20,No,Loyal,0.37037037
Female,1,No,72,Yes,No,DSL,One year,112,No,Loyal,1.534246575
Male,0,Yes,28,Yes,No,DSL,One year,20,No,Medium,0.689655172
Female,0,No,49,Yes,No,DSL,Month-to-month,67,No,Loyal,1.34
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75,Yes,New,37.5
Female,0,No,20,Yes,Yes,DSL,Two year,81,No,Medium,3.857142857
Female,0,Yes,53,Yes,Yes,Fiber optic,Two year,61,No,Loyal,1.12962963
Male,0,No,67,Yes,No,Fiber optic,Month-to-month,69,No,Loyal,1.014705882
Male,0,No,11,Yes,No,Fiber optic,Month-to-month,74,Yes,New,6.166666667
Female,0,Yes,52,Yes,No,DSL,Two year,86,No,Loyal,1.622641509
Female,0,No,1,Yes,Yes,DSL,Month-to-month,91,Yes,New,45.5
Female,0,No,48,Yes,Yes,DSL,Month-to-month,56,No,Medium,1.142857143
Female,0,No,7,Yes,No,DSL,Two year,75,Yes,New,9.375
Male,0,Yes,7,Yes,Yes,Fiber optic,Month-to-month,71,No,New,8.875
Female,0,Yes,12,Yes,No,Fiber optic,Month-to-month,84,No,New,6.461538462
Male,0,No,40,Yes,No,DSL,Two year,25,No,Medium,0.609756098
Male,0,No,55,Yes,Yes,DSL,Two year,78,No,Loyal,1.392857143
Female,0,No,20,Yes,Yes,Fiber optic,Two year,20,No,Medium,0.952380952
Male,0,No,1,No,No,DSL,One year,36,Yes,New,18
Female,0,Yes,72,Yes,No,Fiber optic,Month-to-month,84,No,Loyal,1.150684932
Male,0,No,63,Yes,No,DSL,Month-to-month,110,No,Loyal,1.71875
Female,0,No,70,No,No,Fiber optic,Month-to-month,65,No,Loyal,0.915492958
Female,0,No,8,Yes,Yes,DSL,One year,64,No,New,7.111111111
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,46,Yes,New,23
Male,0,No,16,Yes,No,DSL,Month-to-month,20,No,Medium,1.176470588
Female,0,Yes,11,No,Yes,Fiber optic,One year,25,No,New,2.083333333
Male,0,No,11,Yes,No,Fiber optic,One year,75,Yes,New,6.25
Female,0,Yes,41,Yes,No,Fiber optic,Month-to-month,88,No,Medium,2.095238095
Male,0,Yes,14,Yes,No,DSL,Month-to-month,76,No,Medium,5.066666667
Female,0,No,61,Yes,Yes,DSL,One year,89,No,Loyal,1.435483871
Female,0,No,20,Yes,No,DSL,Month-to-month,89,No,Medium,4.238095238
Female,0,No,47,Yes,No,DSL,Two year,106,Yes,Medium,2.208333333
Male,0,Yes,2,Yes,Yes,Fiber optic,Two year,60,No,New,20
Male,0,Yes,41,Yes,Yes,Fiber optic,One year,60,No,Medium,1.428571429
Female,0,No,72,Yes,No,DSL,Month-to-month,25,No,Loyal,0.342465753
Female,0,Yes,72,Yes,No,DSL,Month-to-month,80,No,Loyal,1.095890411
Female,0,No,46,Yes,No,DSL,Month-to-month,96,No,Medium,2.042553191
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,New,10
Male,0,Yes,29,No,Yes,Fiber optic,Month-to-month,45,No,Medium,1.5
Female,0,No,37,Yes,No,DSL,Two year,100,No,Medium,2.631578947
Male,0,No,19,Yes,Yes,Fiber optic,One year,62,No,Medium,3.1
Female,0,Yes,49,Yes,Yes,DSL,Two year,78,No,Loyal,1.56
Male,0,Yes,13,Yes,Yes,DSL,Two year,44,No,Medium,3.142857143
Female,0,No,22,Yes,No,Fiber optic,Month-to-month,50,No,Medium,2.173913043
Female,1,No,53,Yes,No,DSL,Two year,97,No,Loyal,1.796296296
Male,0,No,24,Yes,Yes,DSL,Two year,50,Yes,Medium,2
Female,0,No,37,Yes,No,Fiber optic,Month-to-month,20,No,Medium,0.526315789
Male,0,Yes,6,Yes,No,DSL,Two year,55,Yes,New,7.857142857
Female,0,No,7,Yes,No,DSL,Month-to-month,80,Yes,New,10
Female,0,Yes,12,Yes,Yes,Fiber optic,Month-to-month,20,Yes,New,1.538461538
Female,0,No,71,Yes,No,Fiber optic,Month-to-month,25,No,Loyal,0.347222222
Male,0,Yes,26,Yes,Yes,Fiber optic,Month-to-month,82,No,Medium,3.037037037
Female,0,No,6,Yes,Yes,Fiber optic,Month-to-month,46,No,New,6.571428571
Male,0,No,32,Yes,No,DSL,Month-to-month,88,No,Medium,2.666666667
Female,0,No,47,Yes,No,DSL,Month-to-month,59,No,Medium,1.229166667
Female,0,Yes,31,Yes,No,DSL,Month-to-month,21,No,Medium,0.65625
Female,0,Yes,52,Yes,No,DSL,Month-to-month,84,No,Loyal,1.58490566
Female,0,No,60,No,No,DSL,Month-to-month,61,No,Loyal,1
Female,0,No,48,Yes,Yes,DSL,Month-to-month,66,No,Medium,1.346938776
Male,0,No,45,Yes,Yes,DSL,Month-to-month,19,No,Medium,0.413043478
Female,0,No,39,Yes,No,Fiber optic,Month-to-month,80,Yes,Medium,2
Female,1,No,1,Yes,Yes,Fiber optic,One year,86,Yes,New,43
Male,0,No,1,Yes,No,DSL,Month-to-month,70,Yes,New,35
Female,0,No,6,Yes,No,Fiber optic,Month-to-month,79,Yes,New,11.28571429
Male,0,No,9,Yes,No,Fiber optic,Month-to-month,76,No,New,7.6
Male,0,Yes,72,Yes,No,DSL,Month-to-month,114,No,Loyal,1.561643836
Male,1,No,71,No,Yes,Fiber optic,Month-to-month,52,No,Loyal,0.722222222
Male,0,Yes,71,Yes,No,DSL,One year,20,No,Loyal,0.277777778
Female,0,No,64,Yes,No,Fiber optic,One year,95,No,Loyal,1.461538462
Female,0,Yes,28,Yes,No,Fiber optic,Month-to-month,20,No,Medium,0.689655172
Female,0,Yes,70,Yes,No,DSL,Month-to-month,115,No,Loyal,1.61971831
Male,1,No,39,Yes,No,DSL,Month-to-month,96,Yes,Medium,2.4
Female,0,Yes,16,Yes,No,Fiber optic,Two year,20,No,Medium,1.176470588
Male,1,No,66,Yes,Yes,Fiber optic,Month-to-month,111,Yes,Loyal,1.656716418
Female,1,No,21,Yes,Yes,DSL,Month-to-month,95,No,Medium,4.318181818
Female,0,No,44,Yes,No,Fiber optic,Month-to-month,85,Yes,Medium,1.888888889
Female,1,No,54,Yes,No,DSL,One year,99,No,Loyal,1.8
Male,0,No,4,Yes,Yes,Fiber optic,Month-to-month,57,No,New,11.4
Female,1,No,60,Yes,No,Fiber optic,Month-to-month,110,No,Loyal,1.803278689
Male,0,No,26,Yes,No,DSL,Two year,92,No,Medium,3.407407407
Female,0,Yes,24,Yes,Yes,Fiber optic,Month-to-month,79,No,Medium,3.16
Male,0,Yes,53,Yes,Yes,DSL,Two year,19,No,Loyal,0.351851852
Female,0,Yes,46,Yes,Yes,Fiber optic,Month-to-month,19,No,Medium,0.404255319
Female,0,Yes,56,Yes,No,DSL,Two year,89,No,Loyal,1.561403509
Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,59,No,New,7.375
Female,0,No,1,Yes,Yes,DSL,One year,86,Yes,New,43
Male,0,No,1,Yes,No,DSL,Month-to-month,46,No,New,23
Male,0,No,60,Yes,No,Fiber optic,Month-to-month,20,No,Loyal,0.327868852
Male,0,No,61,Yes,Yes,Fiber optic,Two year,21,No,Loyal,0.338709677
Female,0,No,42,No,No,Fiber optic,Month-to-month,34,Yes,Medium,0.790697674
Male,0,No,27,Yes,No,Fiber optic,Month-to-month,20,No,Medium,0.714285714
Female,0,Yes,9,Yes,Yes,Fiber optic,One year,85,Yes,New,8.5
Female,0,No,72,Yes,No,DSL,Two year,20,No,Loyal,0.273972603
Female,0,No,23,Yes,No,DSL,One year,20,No,Medium,0.833333333
Female,1,No,47,Yes,No,Fiber optic,Month-to-month,95,Yes,Medium,1.979166667
Female,1,No,54,Yes,Yes,Fiber optic,Month-to-month,19,No,Loyal,0.345454545
Male,1,No,2,Yes,Yes,DSL,One year,96,No,New,32
Male,0,No,38,No,No,DSL,Two year,60,No,Medium,1.538461538
Female,1,No,47,Yes,No,DSL,Month-to-month,100,No,Medium,2.083333333
Male,0,No,22,Yes,No,DSL,One year,56,No,Medium,2.434782609
Male,0,No,2,Yes,No,DSL,Two year,91,No,New,30.33333333
Female,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,79,No,Loyal,1.082191781
Male,1,No,58,No,No,Fiber optic,Month-to-month,45,Yes,Loyal,0.762711864
Male,0,Yes,69,Yes,No,Fiber optic,Month-to-month,79,No,Loyal,1.128571429
Male,0,No,18,Yes,No,DSL,Month-to-month,70,No,Medium,3.684210526
Female,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,20,No,Loyal,0.357142857
Female,0,No,46,Yes,No,DSL,Two year,101,No,Medium,2.14893617
Male,0,No,5,Yes,No,DSL,One year,19,No,New,3.166666667
Female,0,No,4,No,Yes,Fiber optic,One year,34,Yes,New,6.8
Male,1,No,5,Yes,Yes,Fiber optic,Month-to-month,90,Yes,New,15
Female,0,Yes,65,Yes,Yes,Fiber optic,Month-to-month,61,No,Loyal,0.924242424
Male,0,No,35,Yes,Yes,DSL,One year,21,No,Medium,0.583333333
Female,1,No,45,Yes,Yes,Fiber optic,Two year,97,No,Medium,2.108695652
Female,0,No,2,Yes,Yes,DSL,Two year,20,No,New,6.666666667
Female,0,Yes,22,Yes,No,Fiber optic,Month-to-month,80,No,Medium,3.47826087
Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,69,No,Loyal,0.971830986
Female,0,Yes,30,Yes,No,DSL,Month-to-month,66,No,Medium,2.129032258
Male,0,No,61,Yes,Yes,DSL,Two year,108,No,Loyal,1.741935484
Female,0,No,29,Yes,Yes,DSL,Month-to-month,20,No,Medium,0.666666667
